Identyfikator,Temat,Status,Projekt,Priorytet,Plik 1,Plik 2,Pliki inne,Data zgłoszenia
0007081,Jeśli zmienimy agd w wstawionej szafce a następnie zedytujemy którykolwiek wymiar szafki - wraca sprzęt agd sprzed zmiany.,zwrócony,wstawianie szafek kuchennych,wysoki,,,,2024-02-15
0006964,nie można otworzyć instrukcji instalacji programu,zamknięty,instalator programu,niski, Setup.exe 2.0.0.1001,,,2024-01-10
0000256,"Asystent pobierania jest w starym stylu graficznym, kiedy wszystkie inne programy maja nową szatę graficzna instalatorów",zamknięty,asystent pobierania,normalny,asystent_pobierania.exe ver 1.0.5.1,,,2018-12-20
0006258,Różnice w kolorystyce blatów po ich skopiowaniu,zwrócony,blaty,normalny,blaty.dll 4.0.6.4,blaty.dll 4.0.6.5,,2023-07-12
0007362,Reorganizacja bibliotek CAD Licencji,rozwiązany,CAD Licencja,wysoki,CadLicense.msi 1.2.10001,,,2024-04-22
0007484,Wybieranie trybu licencjonowania,rozwiązany,CAD Licencja,wysoki,CadLicense.msi 1.2.10001,agd.dll 4.0.9.10001,"blaty.dll 4.0.9.10001, CADDecorPro.exe 4.0.9.10001, CADDecor.exe 4.0.9.10001, CADKuchnie.exe 8.0.9.10001, dodatki.dll 4.0.9.10001, kafle.dll 4.0.9.10001, konwerter3d.dll 4.0.9.10001, listwy.dll 4.0.9.10001, Manager.dll 8.0.9.10001, PlytkiEdytorBaze.exe 4.",2024-06-04
0007487,Blokowanie działania licencji online na starszej wersji programu,rozwiązany,CAD Licencja,wysoki,CadLicense.msi 1.2.10001,agd.dll 4.0.9.10001,"blaty.dll 4.0.9.10001, CADDecorPro.exe 4.0.9.10001, CADDecor.exe 4.0.9.10001, CADKuchnie.exe 8.0.9.10001, dodatki.dll 4.0.9.10001, kafle.dll 4.0.9.10001, konwerter3d.dll 4.0.9.10001, listwy.dll 4.0.9.10001, Manager.dll 8.0.9.10001, PlytkiEdytorBaze.exe 4.",2024-06-04
0007488,Obsługa licencji online próbnej,rozwiązany,CAD Licencja,wysoki,CadLicense.msi 1.2.10001,agd.dll 4.0.9.10001,"blaty.dll 4.0.9.10001, CADDecorPro.exe 4.0.9.10001, CADDecor.exe 4.0.9.10001, CADKuchnie.exe 8.0.9.10001, dodatki.dll 4.0.9.10001, kafle.dll 4.0.9.10001, konwerter3d.dll 4.0.9.10001, listwy.dll 4.0.9.10001, Manager.dll 8.0.9.10001, PlytkiEdytorBaze.exe 4.",2024-06-04
0007485,Dodaj możliwość zamykania splasha launchera,zamknięty,CAD Licencja,normalny,CadLicense.msi 1.2.10001,CADDecorPro.exe 4.0.9.10001,"CADDecorPro.exe 4.0.9.10001, CADDecor.exe 4.0.9.10001, CADKuchnie.exe 8.0.9.10001",2024-06-04
0006863,CR wiesza się na wydruku etykiet poprzedzonym wydrukiem listy formatek,rozwiązany,CAD Rozkrój,pilny,CADRozkroj4.exe 4.1.11.2,,,2023-12-05
