Identyfikator,Temat,Status,Projekt,Priorytet,Plik 1,Plik 2,Pliki inne,Data zgłoszenia
0007257,Niezawsze podczytują się informacje z pliku .cui,zamknięty,launcher,normalny,CADDecorPro.exe 4.0.8.1,CADDecor.exe 4.0.8.1,CADKuchnie.exe 8.0.8.1,2024-04-02
0007375,Reset menu nie resetuje wartości SHORTCUTMENU,zamknięty,launcher,wysoki,CADDecorPro.exe 4.0.8.1,CADDecor.exe 4.0.8.1,CADKuchnie.exe 8.0.8.1,2024-04-24
0007432,Licencja online traci ważność jeden dzień przed dniem na który wskazuje Menedżer licencji,zamknięty,CAD Licencja,pilny,CadLicense.msi 1.1.1,,,2024-05-17
0006752,Program działa jako pełny na kodach demo,zamknięty,CAD Licencja,natychmiastowy,CadLicense.msi 1.1.2,iUPDATEx64.exe 9.1.0.9,"Setup.exe 2.0.0.38, asystent_pobierania.exe 1.0.4.7, Szafy.exe 4.0.5.2",2023-11-09
0006989,Dwa różne hardwareID dla tego samego kompa,zamknięty,CAD Licencja,wysoki,CadLicense.msi 1.1.2,iUPDATEx64.exe 9.1.0.9 ,"CadLicense.msi 1.0.23, CadLicense.msi 1.0.22",2024-01-19
0007424,"Sfery z bazy GAM STUDIO ULTRA PACK powodują duże ""oddalenie"" projektu w dokumentacji",zamknięty,dokumentacja,pilny,kafle.dll 4.0.7.13,kafle.dll 4.0.8.11,,2024-05-14
0007448,Eksport pomieszczenia nie działa na konkretnym projekcie,zamknięty,wizualizacja,pilny,kafle.dll 4.0.7.14,kafle.dll 4.0.8.14,,2024-05-23
0007437,Nieoczekiwany błąd po przejściu do zestawienia płytek,zamknięty,wizualizacja,wysoki,kafle.dll 4.0.7.15,kafle.dll 4.0.8.15,kafle.dll 4.0.9.6,2024-05-20
0007468,Dodatkowe wymiary po wygenerowaniu pdfa.,zamknięty,dokumentacja,pilny,kafle.dll 4.0.7.16,kafle.dll 4.0.8.16,,2024-05-28
0007473,Błąd w wycenie LM dla płytek,zamknięty,wizualizacja,natychmiastowy,kafle.dll 4.0.7.16,kafle.dll 4.0.8.16,,2024-05-28
0007470,Niewłaściwy obrót kamery w oknie podglądu rendera na wysokim dpi,zamknięty,render,pilny,kafle.dll 4.0.7.17,kafle.dll 4.0.8.17,,2024-05-28
0007413,Szybka linia wymiarowa nie działa poprawnie dla szafek górnych,zamknięty,dokumentacja,wysoki,kafle.dll 4.0.8.10,kafle.dll 4.0.8.12,,2024-05-10
0007331,Ucięte nazwy płytek w oknie wyszukiwania na zwiększonym dpi,zamknięty,wizualizacja,normalny,kafle.dll 4.0.8.2,kafle.dll 4.0.8.11,,2024-04-15
0000765,14. Edycja i wstawianie - przesuwanie precyzyjne przy pomocy klawiatury.,zamknięty,dokumentacja,normalny,kafle.dll 4.0.8.3,,,2019-05-08
0003717,przesuwanie wrysowanych obiektów,zamknięty,dokumentacja,normalny,kafle.dll 4.0.8.3,,,2021-10-19
0007313,Nie działają punkty przyciągania.,zamknięty,dokumentacja,normalny,kafle.dll 4.0.8.4,,,2024-04-11
0007376,"Edycja opisu lini wymiarowej po zmianie czcionki dla całego projektu powoduje, że wraca rozmiar i typ czcionki sprzed zmiany",zamknięty,dokumentacja,wysoki,kafle.dll 4.0.8.5,kafle.dll 4.0.8.13,,2024-04-24
0007343,Brak części kreskowań w wyeksportowanym PDF,zamknięty,dokumentacja,normalny,kafle.dll 4.0.8.6,,,2024-04-17
0007342,Kreskowania zmieniają się na wypełnienie po skopiowaniu strony,zamknięty,dokumentacja,normalny,kafle.dll 4.0.8.7,,,2024-04-17
0007400,Nie wyświetla tłumaczenia w dokumentacji,zamknięty,dokumentacja,normalny,kafle.dll 4.0.8.8,,,2024-05-08
0007411,Brak tłumaczenia w oknie właściwości strony dla strony płytki,zamknięty,dokumentacja,normalny,kafle.dll 4.0.8.9,translation.xgz [13.05.2024],,2024-05-10
0007384,Nieoczekiwany błąd przy wyborze obiektu z listy załadowanej z innej zakładki,zamknięty,konwerter,normalny,konwerter3d.dll 4.0.8.1,,,2024-04-25
0007367,Różna kolejność opcji na prawym panelu w konwerterze w zależności od DPI,zamknięty,konwerter,normalny,konwerter3d.dll 4.0.8.2,,,2024-04-23
0007324,Niewidoczne przyciski ok i anuluj w oknie podlgądu wydruku zestawienia płytek,zamknięty,wizualizacja,wysoki,Manager.dll 4.0.8.1,,,2024-04-12
0007374,"Program nie rozpoznaje czy jest klucz HASP, czy licencja online przy wysyłaniu danych do analyticsa",zamknięty,manager,normalny,manager.dll 8.0.8.2,,,2024-04-24
0007229,Nie działa ograniczenie uniemożliwiające rysowanie po za gridem,zamknięty,edytor ścian,wysoki,manager.dll 8.0.8.3,,,2024-03-22
0007327,"Brak przycisków ""Wyszukaj"" i ""Reset"" w filtrze przy wysokim DPI",zamknięty,manager,wysoki,manager.dll 8.0.8.4,,,2024-04-12
0007388,Błąd podczas dodawania płytki do dużej bazy,zamknięty,edytor bazy płytek,normalny,PlytkiEdytorBazy.exe 4.0.8.1,,,2024-04-26
0007381,"Mimo odnaczenia opcji przodu w szufladzie w szafach wnekowych, do projektu wstawia się z tym elementem",zamknięty,szafy wnękowe,wysoki,Szafy.exe 4.0.5.3,,,2024-04-25
0007401,Brak tłumaczenia w oknie zapisie szablonu tabeli,zamknięty,dokumentacja,normalny,translation.xgz[09.05.2024],,,2024-05-08
0007385,Poprawki w tłumaczeniu modułu wyceny,zamknięty,wycena,normalny,translation.xgz[26.04.2024],,,2024-04-26
0007392,Błąd przy zmianie ilości produktu w oknie wyceny LM,zamknięty,wersja Leroy Merlin,normalny,wycena.dll 8.0.8.1,,,2024-04-29
