Identyfikator,Temat,Status,Projekt,Priorytet,Plik 1,Plik 2,Pliki inne,Data zgłoszenia
0006747,Nieaktywna lista baz do pobrania przez aktualizator internetowy,zwrócony,aktualizator internetowy,pilny,IUPDATEx64.exe 9.0.0.46,,,2023-11-08
0006903,Aktualizator zawiesza się na pobieraniu dot4cada,zawieszony,aktualizator internetowy,wysoki,iUPDATEx64.exe 9.1.0.4,,,2023-12-15
0007020,Nie widać na rzucie dokumentacji ościeżnic wstawionych bez drzwi,zwrócony,bazy danych,normalny,kafle.dll 4.0.6.41,kafle.dll 4.0.6.42,DoorsWindows.dll 4.0.6.27,2024-01-26
0006258,Różnice w kolorystyce blatów po ich skopiowaniu,zwrócony,blaty,normalny,blaty.dll 4.0.6.4,blaty.dll 4.0.6.5,,2023-07-12
0006863,CR wiesza się na wydruku etykiet poprzedzonym wydrukiem listy formatek,rozwiązany,CAD Rozkrój,pilny,CADRozkroj4.exe 4.1.11.2,,,2023-12-05
0006595,Program nie odświeża listy projektów,zwrócony,CAD Rozkrój,normalny,CADRozkroj4.exe 4.1.12.3,,,2023-09-13
0007402,Brak możliwości skopiowania strony rysunek techniczny na konkretnym projekcie klienta,zawieszony,dokumentacja,pilny,kafle.dll 4.0.7.11,,,2024-05-09
0007413,Szybka linia wymiarowa nie działa poprawnie dla szafek górnych,rozwiązany,dokumentacja,wysoki,kafle.dll 4.0.8.10,,,2024-05-10
0003717,przesuwanie wrysowanych obiektów,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.3,,,2021-10-19
0007376,"Edycja opisu lini wymiarowej po zmianie czcionki dla całego projektu powoduje, że wraca rozmiar i typ czcionki sprzed zmiany",rozwiązany,dokumentacja,wysoki,kafle.dll 4.0.8.5,,,2024-04-24
0007343,Brak części kreskowań w wyeksportowanym PDF,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.6,,,2024-04-17
0007342,Kreskowania zmieniają się na wypełnienie po skopiowaniu strony,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.7,,,2024-04-17
0007400,Nie wyświetla tłumaczenia w dokumentacji,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.8,,,2024-05-08
0007249,Okna narożne i kolankowe - głębokość parapetu ulega zmianie przy edycji,zwrócony,drzwi i okna,wysoki,DoorsWindows.dll 4.0.6.58,,,2024-03-28
0007302,Zmiany w module przy dodawaniu obsługi zapisywania bazy użytkownika do designera,rozwiązany,drzwi i okna,normalny,DoorsWindows.dll 4.0.7.1,DoorsWindows.dll 4.0.7.5,DoorsWindows.dll 4.0.7.2001,2024-04-11
0007370,Poprawki w rzutowaniu zmiennych do bazy qmp,rozwiązany,drzwi i okna,normalny,DoorsWindows.dll 4.0.8.1,,,2024-04-23
0007388,Błąd podczas dodawania płytki do dużej bazy,rozwiązany,edytor bazy płytek,normalny,PlytkiEdytorBazy.exe 4.0.8.1,,,2024-04-26
0007229,Nie działa ograniczenie uniemożliwiające rysowanie po za gridem,rozwiązany,edytor ścian,wysoki,manager.dll 8.0.8.3,,,2024-03-22
0007173,Rozjechanie się skali po zmianie nazwy producenta,zawieszony,konwerter,normalny,konwerter3d.dll 4.0.6.12,,,2024-03-11
0007174,"Błąd w pogdlądzie po przeskalowaniu i przeklikiwaniu się z zakładki ""Typ"" na ""Producent""",zawieszony,konwerter,normalny,konwerter3d.dll 4.0.6.12,,,2024-03-11
0007264,Brak skalowania ikon w interfejsie przy wysokiej rozdzielczości ekranu i wysokim dpi,zwrócony,manager,wysoki,dodatki.dll 4.0.7.8002,manager.dll 8.0.6.8002,"ukrywacz.dll 4.0.6.8002, listwy.dll 4.0.6.8001, szafki_nowe.dll 4.0.6.8002, CADDecor.exe 4.0.6.8001, CADDecorPro.exe 4.0.6.8001, CADKuchnie.exe 8.0.6.8001, agd.dll 4.0.6.8002, wycena.dll 4.0.6.8001,",2024-04-03
0006254,Eksport projektów - nie można anulować,zwrócony,manager,normalny,manager.dll 8.0.6.8,,,2023-07-12
0007374,"Program nie rozpoznaje czy jest klucz HASP, czy licencja online przy wysyłaniu danych do analyticsa",rozwiązany,manager,normalny,manager.dll 8.0.8.2,,,2024-04-24
0004961,brak współpracy z serwerem licencji i hasp dla wersji 64 bit,zwrócony,szafy wnękowe,wysoki,szaf.exe 5.0.0.1 ,szaf.exe 5.0.0.2,,2022-11-30
0007037,Skalowanie bloku obróconego o kąt inny niż 90 stopni nie działa prawidłowo,zwrócony,wizualizacja,normalny,kafle.dll 4.0.6.55 [21.03.2024 11:25],kafle.dll 4.0.6.58,,2024-02-06
0007210,Błędnie wyświetlane kontrolki do przeciągania elementów świateł na drzewku dla skali DPI 125% i wyższych,zwrócony,wizualizacja,normalny,kafle.dll 4.0.6.57,,,2024-03-19
0007331,Ucięte nazwy płytek w oknie wyszukiwania na zwiększonym dpi,rozwiązany,wizualizacja,normalny,kafle.dll 4.0.8.2,kafle.dll 4.0.8.11,,2024-04-15
0007324,Niewidoczne przyciski ok i anuluj w oknie podlgądu wydruku zestawienia płytek,rozwiązany,wizualizacja,wysoki,Manager.dll 4.0.8.1,,,2024-04-12
0006908,Długi czas przełączania się między elementami na liście,zawieszony,wstawianie elementów wnętrzarskich,normalny,dodatki.dll 4.0.6.4,konwerter3d.dll 4.0.6.5,,2023-12-18
0007081,Jeśli zmienimy agd w wstawionej szafce a następnie zedytujemy którykolwiek wymiar szafki - wraca sprzęt agd sprzed zmiany.,zwrócony,wstawianie szafek kuchennych,wysoki,,,,2024-02-15
0007169,Próba skalowania szafki wstawionej pod kątem innym niż 90 stopni powoduje dziwne zachowanie i np. skurczenie sie szafki,zwrócony,wstawianie szafek kuchennych,wysoki,kafle.dll 4.0.6.55 [21.03.2024 11:25],kafle.dll 4.0.6.58,,2024-03-11
0007385,Poprawki w tłumaczeniu modułu wyceny,rozwiązany,wycena,normalny,translation.xgz[26.04.2024],,,2024-04-26
