Identyfikator,Temat,Status,Projekt,Priorytet,Plik 1,Plik 2,Pliki inne,Data zgłoszenia
0007029,"Nie działają listy rozwijalne, jeżeli icad jest uruchomiony na drugim monitorze z ustawionym DPI",przypisany,wizualizacja,wysoki,VGScene250.bpl [07.03.2024 16:30],,,2024-02-01
0007385,Poprawki w tłumaczeniu modułu wyceny,rozwiązany,wycena,normalny,translation.xgz[26.04.2024],,,2024-04-26
0002001,W bazie WFM 2019 raster 140 szafka HPMES-6 nie wstawia się poprawnie,rozwiązany,wstawianie szafek kuchennych,wysoki,szafki_nowe.dll 3.3.1.4,,,2020-03-26
0004961,brak współpracy z serwerem licencji i hasp dla wersji 64 bit,zwrócony,szafy wnękowe,wysoki,szaf.exe 5.0.0.1 ,szaf.exe 5.0.0.2,,2022-11-30
0007388,Błąd podczas dodawania płytki do dużej bazy,rozwiązany,edytor bazy płytek,normalny,PlytkiEdytorBazy.exe 4.0.8.1,,,2024-04-26
0005611,Przy mniejszym froncie w zestawie format przenikają się powierzchnie,przypisany,bazy danych,normalny,Model1.dll 4.0.4.2,Model1.dll 4.0.2.27,,2023-03-20
0007229,Nie działa ograniczenie uniemożliwiające rysowanie po za gridem,rozwiązany,edytor ścian,wysoki,manager.dll 8.0.8.3,,,2024-03-22
0007374,"Program nie rozpoznaje czy jest klucz HASP, czy licencja online przy wysyłaniu danych do analyticsa",rozwiązany,manager,normalny,manager.dll 8.0.8.2,,,2024-04-24
0006254,Eksport projektów - nie można anulować,zwrócony,manager,normalny,manager.dll 8.0.6.8,,,2023-07-12
0006462,Nie zapisuje się baza i zestaw szafek kuchennych w niektórych projektach,zwrócony,wstawianie szafek kuchennych,normalny,manager.dll 8.0.6.5,,,2023-08-25
0007184,"Wciśnięcie ""\"" po zatwierdzeniu nowego projektu enterem sprawia, że nazwa projektu jest pusta",przypisany,manager,niski,Manager.dll 8.0.6.13,Manager.dll 8.0.6.15,,2024-03-14
0005775,Program się zawiesza podczas uruchamiania - nieprzekonwertowany plik dodatki.mdb z B_User,przypisany,Konwerter mdb,pilny,"Manager.dll 8.0.5.20, jet_converter.exe 1.0.0.12",,,2023-04-21
0006086,Program nie wczytuje kolorystyki dla frontów FORMAT w szafkach z b. użytkownika.,przypisany,bazy danych,normalny,manager.dll 8.0.3.5,,,2023-06-13
0007324,Niewidoczne przyciski ok i anuluj w oknie podlgądu wydruku zestawienia płytek,rozwiązany,wizualizacja,wysoki,Manager.dll 4.0.8.1,,,2024-04-12
0006057,Uruchamianie roznych aktualizatorow,rozwiązany,launcher,normalny,louncher.exe 3.3.1.2,,,2023-06-07
0007173,Rozjechanie się skali po zmianie nazwy producenta,zawieszony,konwerter,normalny,konwerter3d.dll 4.0.6.12,,,2024-03-11
0007174,"Błąd w pogdlądzie po przeskalowaniu i przeklikiwaniu się z zakładki ""Typ"" na ""Producent""",zawieszony,konwerter,normalny,konwerter3d.dll 4.0.6.12,,,2024-03-11
0003279,dokumentacja nie ropoznaje podestów po warstwach,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.9.4,,,2021-05-10
0006335,"Brak możliwości przesuwania dodatków w dokumentacji, jeżeli mają przypisaną inną warstwę",rozwiązany,dokumentacja,normalny,kafle.dll 4.0.9.4,,,2023-08-01
0006435,brak możliwości dodania kreskowania do obiektów ze zmienioną nazwą warstwy,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.9.4,,,2023-08-21
0007368,Podgląd widoku nie centruje się na wyższym DPI,rozwiązany,wizualizacja,normalny,kafle.dll 4.0.9.3,,,2024-04-23
0006796,"Błędy podczas kopiowania obszaru płytek przez CTRL+C, CTRL+V",rozwiązany,wizualizacja,wysoki,kafle.dll 4.0.9.2,,,2023-11-23
0007419,Błąd podczas tworzenia kładów,przypisany,blaty,normalny,kafle.dll 4.0.9.1,,,2024-05-13
0007400,Nie wyświetla tłumaczenia w dokumentacji,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.8,,,2024-05-08
0007342,Kreskowania zmieniają się na wypełnienie po skopiowaniu strony,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.7,,,2024-04-17
0007343,Brak części kreskowań w wyeksportowanym PDF,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.6,,,2024-04-17
0007376,"Edycja opisu lini wymiarowej po zmianie czcionki dla całego projektu powoduje, że wraca rozmiar i typ czcionki sprzed zmiany",rozwiązany,dokumentacja,wysoki,kafle.dll 4.0.8.5,,,2024-04-24
0003717,przesuwanie wrysowanych obiektów,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.3,,,2021-10-19
0007331,Ucięte nazwy płytek w oknie wyszukiwania na zwiększonym dpi,rozwiązany,wizualizacja,normalny,kafle.dll 4.0.8.2,kafle.dll 4.0.8.11,,2024-04-15
0007407,Sfera /GAM Studio/ - czy widoczna w dokumentacji,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.8.11,,,2024-05-09
0007413,Szybka linia wymiarowa nie działa poprawnie dla szafek górnych,rozwiązany,dokumentacja,wysoki,kafle.dll 4.0.8.10,,,2024-05-10
0007350,Konwersja bazy farb z MDB do QMP na programie w wersji 4.0 powoduje problem z działaniem bazy,przypisany,wizualizacja,normalny,kafle.dll 4.0.8.1,,,2024-04-18
0006336,Zwielokrotniona pozycja na liście obiektów,rozwiązany,dokumentacja,normalny,kafle.dll 4.0.7.7,,,2023-08-01
0006868,Grube linie po wygenerowaniu pdf'a na komputerze klienta,rozwiązany,dokumentacja,wysoki,kafle.dll 4.0.7.4,,,2023-12-06
0007402,Brak możliwości skopiowania strony rysunek techniczny na konkretnym projekcie klienta,zawieszony,dokumentacja,pilny,kafle.dll 4.0.7.11,,,2024-05-09
0007210,Błędnie wyświetlane kontrolki do przeciągania elementów świateł na drzewku dla skali DPI 125% i wyższych,zwrócony,wizualizacja,normalny,kafle.dll 4.0.6.57,,,2024-03-19
0007037,Skalowanie bloku obróconego o kąt inny niż 90 stopni nie działa prawidłowo,zwrócony,wizualizacja,normalny,kafle.dll 4.0.6.55 [21.03.2024 11:25],kafle.dll 4.0.6.58,,2024-02-06
0007169,Próba skalowania szafki wstawionej pod kątem innym niż 90 stopni powoduje dziwne zachowanie i np. skurczenie sie szafki,zwrócony,wstawianie szafek kuchennych,wysoki,kafle.dll 4.0.6.55 [21.03.2024 11:25],kafle.dll 4.0.6.58,,2024-03-11
